응대ID,고객ID,제품ID,응대일시,응대채널,응대자,문의유형,상태,응대시간(분),만족도,처리완료일시,비고
SVC000473,CUST00084,PROD0016,2024-05-04 02:08:00,이메일,상담원15,계정 문제,대기중,22,불만족,2024-05-10 08:40:00,고객 피드백 있음
SVC000474,CUST00966,PROD0046,2024-05-09 02:54:00,이메일,상담원16,계정 문제,해결완료,13,불만족,2024-01-08 05:30:00,영구차단 고객
SVC000475,CUST00406,PROD0030,2024-03-12 08:08:00,전화,상담원17,계정 문제,해결완료,71,매우불만족,2024-01-01 00:42:00,
SVC000476,CUST00978,PROD0029,2024-06-06 08:17:00,카톡,상담원17,반품/교환,대기중,11,만족,2024-04-21 19:25:00,
SVC000477,CUST00456,PROD0045,2024-03-06 00:47:00,이메일,상담원12,가격 정보 문의,해결완료,62,만족,2024-04-09 02:03:00,
SVC000478,CUST00743,PROD0015,2024-01-29 19:11:00,전화,상담원10,기술 지원,대기중,83,매우만족,,긴급 처리
SVC000479,CUST00800,PROD0046,2024-05-31 23:09:00,전화,상담원20,제품 문의,진행중,34,매우불만족,2024-04-09 16:12:00,고객 피드백 있음
SVC000480,CUST00161,PROD0025,2024-06-17 14:23:00,카톡,상담원6,제품 불량,진행중,77,만족,,고객 피드백 있음
SVC000481,CUST00784,PROD0038,2024-02-14 08:50:00,SNS,상담원8,계정 문제,해결완료,65,만족,2024-06-05 10:52:00,
SVC000482,CUST00460,PROD0042,2024-06-28 07:31:00,SNS,상담원13,서비스 문의,대기중,109,매우불만족,2024-01-07 01:04:00,
SVC000483,CUST00550,PROD0047,2024-02-16 16:55:00,이메일,상담원2,결제 오류,진행중,95,만족,2024-01-15 19:41:00,영구차단 고객
SVC000484,CUST00500,PROD0038,2024-01-09 10:05:00,이메일,상담원19,결제 오류,해결완료,104,만족,,긴급 처리
SVC000485,CUST00738,PROD0023,2024-02-07 19:59:00,카톡,상담원10,프로모션 문의,해결완료,86,매우만족,,
SVC000486,CUST00509,PROD0025,2024-02-09 15:48:00,이메일,상담원4,제품 불량,해결완료,99,만족,2024-03-23 01:29:00,영구차단 고객
SVC000487,CUST00654,PROD0042,2024-04-15 12:15:00,카톡,상담원12,기술 지원,대기중,21,매우불만족,2024-02-15 20:33:00,재문의 필요
SVC000488,CUST00804,PROD0007,2024-06-18 14:46:00,전화,상담원18,배송 지연,미해결,57,만족,,재문의 필요
SVC000489,CUST00481,PROD0022,2024-06-12 05:13:00,이메일,상담원7,제품 불량,진행중,10,매우만족,2024-04-23 20:26:00,고객 피드백 있음
SVC000490,CUST00663,PROD0017,2024-05-27 23:53:00,전화,상담원20,가격 정보 문의,진행중,43,매우만족,2024-01-13 23:23:00,
SVC000491,CUST00114,PROD0018,2024-03-29 01:41:00,라이브채팅,상담원4,계정 문제,해결완료,29,만족,,고객 피드백 있음
SVC000492,CUST00749,PROD0049,2024-03-08 03:03:00,카톡,상담원7,서비스 문의,진행중,46,만족,,
SVC000493,CUST00578,PROD0041,2024-02-12 14:25:00,라이브채팅,상담원10,기술 지원,미해결,46,매우만족,,고객 피드백 있음
SVC000494,CUST00361,PROD0010,2024-05-01 09:30:00,이메일,상담원15,기술 지원,해결완료,63,보통,2024-04-23 19:18:00,
SVC000495,CUST00341,PROD0010,2024-05-16 07:24:00,전화,상담원12,계정 문제,해결완료,106,만족,2024-01-15 22:28:00,
SVC000496,CUST00770,PROD0007,2024-06-23 22:24:00,이메일,상담원1,가격 정보 문의,해결완료,42,보통,2024-04-13 13:42:00,재문의 필요
SVC000497,CUST00987,PROD0048,2024-05-01 08:09:00,라이브채팅,상담원20,계정 문제,해결완료,35,매우만족,,재문의 필요
SVC000498,CUST00761,PROD0050,2024-05-15 13:00:00,이메일,상담원18,계정 문제,진행중,119,보통,,
SVC000499,CUST00969,PROD0038,2024-03-14 14:24:00,SNS,상담원16,제품 불량,미해결,33,만족,,
SVC000500,CUST00449,PROD0027,2024-06-22 10:33:00,라이브채팅,상담원5,서비스 문의,해결완료,108,만족,2024-05-05 23:40:00,긴급 처리
SVC000501,CUST00843,PROD0033,2024-06-23 01:06:00,이메일,상담원19,기술 지원,해결완료,13,매우불만족,2024-04-08 01:10:00,
SVC000502,CUST00835,PROD0001,2024-05-16 20:22:00,전화,상담원4,프로모션 문의,해결완료,5,매우만족,2024-06-03 02:49:00,
SVC000503,CUST00180,PROD0044,2024-04-20 19:58:00,이메일,상담원6,계정 문제,미해결,84,만족,2024-01-06 12:59:00,
SVC000504,CUST00702,PROD0034,2024-06-15 08:21:00,전화,상담원17,반품/교환,해결완료,106,만족,2024-05-16 08:04:00,긴급 처리
SVC000505,CUST00407,PROD0004,2024-03-10 08:51:00,SNS,상담원7,배송 지연,해결완료,91,만족,2024-02-20 06:29:00,
SVC000506,CUST00666,PROD0017,2024-01-26 08:41:00,이메일,상담원7,계정 문제,해결완료,76,만족,,긴급 처리
SVC000507,CUST00196,PROD0004,2024-05-29 12:29:00,SNS,상담원9,계정 문제,해결완료,51,매우만족,2024-03-21 11:45:00,
SVC000508,CUST00466,PROD0043,2024-06-21 23:15:00,라이브채팅,상담원13,기술 지원,대기중,80,보통,2024-02-21 11:58:00,긴급 처리
SVC000509,CUST00311,PROD0026,2024-06-21 18:49:00,전화,상담원20,결제 오류,해결완료,14,보통,2024-01-28 14:34:00,
SVC000510,CUST00262,PROD0004,2024-02-19 16:21:00,라이브채팅,상담원14,제품 문의,진행중,20,보통,2024-04-28 00:13:00,재문의 필요
SVC000511,CUST00419,PROD0001,2024-06-22 22:11:00,전화,상담원16,배송 지연,진행중,51,매우만족,2024-02-12 21:06:00,
SVC000512,CUST00406,PROD0007,2024-03-21 17:00:00,SNS,상담원9,결제 오류,해결완료,47,매우만족,,
SVC000513,CUST00939,PROD0030,2024-06-21 00:53:00,카톡,상담원15,제품 불량,해결완료,28,보통,,
SVC000514,CUST00143,PROD0050,2024-01-18 00:26:00,이메일,상담원5,반품/교환,미해결,107,매우만족,2024-02-26 13:15:00,
SVC000515,CUST00342,PROD0009,2024-01-26 16:06:00,SNS,상담원18,제품 문의,진행중,12,보통,2024-06-20 10:08:00,
SVC000516,CUST00316,PROD0035,2024-06-24 14:22:00,전화,상담원20,배송 지연,대기중,79,매우만족,2024-05-19 18:22:00,재문의 필요
SVC000517,CUST00101,PROD0008,2024-02-26 23:18:00,전화,상담원8,결제 오류,진행중,109,만족,2024-02-18 06:28:00,고객 피드백 있음
SVC000518,CUST00244,PROD0024,2024-03-05 06:02:00,전화,상담원15,서비스 문의,미해결,30,불만족,,긴급 처리
SVC000519,CUST00490,PROD0019,2024-01-07 19:05:00,전화,상담원9,서비스 문의,해결완료,11,보통,2024-03-16 09:16:00,
SVC000520,CUST00012,PROD0036,2024-01-15 19:42:00,이메일,상담원19,가격 정보 문의,해결완료,83,보통,2024-02-13 18:20:00,
SVC000521,CUST00239,PROD0050,2024-02-25 19:40:00,라이브채팅,상담원6,계정 문제,해결완료,19,불만족,,고객 피드백 있음
SVC000522,CUST00561,PROD0043,2024-02-01 22:07:00,카톡,상담원4,반품/교환,해결완료,52,보통,2024-03-16 16:02:00,영구차단 고객
SVC000523,CUST00042,PROD0027,2024-01-23 19:08:00,이메일,상담원11,제품 문의,해결완료,7,만족,2024-01-25 13:17:00,
SVC000524,CUST00678,PROD0032,2024-04-06 21:48:00,전화,상담원10,배송 지연,미해결,20,매우불만족,,재문의 필요
SVC000525,CUST00594,PROD0014,2024-06-14 18:51:00,이메일,상담원3,서비스 문의,대기중,83,보통,,
SVC000526,CUST00429,PROD0018,2024-02-17 03:44:00,SNS,상담원1,반품/교환,해결완료,93,보통,2024-06-23 08:53:00,고객 피드백 있음
SVC000527,CUST00803,PROD0028,2024-02-17 08:18:00,전화,상담원12,제품 문의,해결완료,101,만족,,고객 피드백 있음
SVC000528,CUST00158,PROD0029,2024-04-29 21:59:00,카톡,상담원15,가격 정보 문의,해결완료,18,매우불만족,2024-01-28 04:57:00,긴급 처리
SVC000529,CUST00216,PROD0016,2024-01-20 20:29:00,전화,상담원15,서비스 문의,대기중,92,매우만족,2024-05-07 21:32:00,영구차단 고객
SVC000530,CUST00670,PROD0035,2024-03-11 13:44:00,카톡,상담원14,기술 지원,해결완료,79,매우만족,,
SVC000531,CUST00462,PROD0047,2024-06-19 10:16:00,카톡,상담원7,서비스 문의,진행중,7,매우만족,,
SVC000532,CUST00134,PROD0031,2024-02-11 02:17:00,라이브채팅,상담원17,프로모션 문의,미해결,77,매우만족,,고객 피드백 있음
SVC000533,CUST00067,PROD0004,2024-01-16 12:24:00,라이브채팅,상담원19,기술 지원,해결완료,74,만족,,영구차단 고객
SVC000534,CUST00848,PROD0037,2024-03-26 01:16:00,이메일,상담원7,반품/교환,대기중,35,불만족,,긴급 처리
SVC000535,CUST00007,PROD0017,2024-03-08 05:28:00,이메일,상담원3,가격 정보 문의,해결완료,84,보통,2024-05-30 17:52:00,영구차단 고객
SVC000536,CUST00948,PROD0039,2024-01-18 15:59:00,카톡,상담원3,결제 오류,대기중,79,매우만족,,재문의 필요
SVC000537,CUST00526,PROD0048,2024-02-21 19:25:00,전화,상담원18,제품 불량,해결완료,118,보통,2024-03-07 16:59:00,고객 피드백 있음
SVC000538,CUST00073,PROD0046,2024-02-15 20:31:00,SNS,상담원20,계정 문제,해결완료,21,만족,2024-02-13 18:34:00,고객 피드백 있음
SVC000539,CUST00399,PROD0026,2024-01-28 04:34:00,SNS,상담원14,계정 문제,미해결,53,만족,2024-05-05 23:43:00,긴급 처리
SVC000540,CUST00405,PROD0048,2024-04-20 06:39:00,전화,상담원3,서비스 문의,진행중,7,만족,2024-02-29 13:55:00,긴급 처리
SVC000541,CUST00675,PROD0039,2024-06-13 03:58:00,전화,상담원7,배송 지연,해결완료,87,불만족,2024-05-18 07:56:00,
SVC000542,CUST00578,PROD0041,2024-04-23 22:16:00,라이브채팅,상담원7,기술 지원,해결완료,92,만족,,영구차단 고객
SVC000543,CUST00859,PROD0004,2024-01-27 01:04:00,SNS,상담원5,프로모션 문의,해결완료,59,매우만족,2024-05-19 21:20:00,
SVC000544,CUST00130,PROD0030,2024-01-19 18:46:00,카톡,상담원3,서비스 문의,대기중,115,만족,2024-03-27 07:36:00,재문의 필요
SVC000545,CUST00931,PROD0030,2024-03-05 14:01:00,이메일,상담원18,가격 정보 문의,해결완료,110,보통,2024-01-06 15:50:00,
SVC000546,CUST00466,PROD0022,2024-05-07 04:41:00,라이브채팅,상담원15,제품 불량,대기중,76,보통,2024-05-19 23:40:00,
SVC000547,CUST00206,PROD0011,2024-06-12 00:59:00,SNS,상담원20,결제 오류,해결완료,117,매우만족,2024-06-23 03:29:00,영구차단 고객
SVC000548,CUST00788,PROD0002,2024-01-10 21:24:00,전화,상담원14,제품 불량,해결완료,104,매우만족,2024-01-16 12:55:00,긴급 처리
SVC000549,CUST00978,PROD0044,2024-03-09 04:44:00,SNS,상담원4,프로모션 문의,대기중,44,보통,2024-03-01 12:33:00,긴급 처리
SVC000550,CUST00768,PROD0012,2024-03-25 12:36:00,카톡,상담원8,제품 불량,해결완료,70,보통,2024-02-07 00:23:00,영구차단 고객
SVC000551,CUST00266,PROD0030,2024-01-01 16:45:00,라이브채팅,상담원13,제품 불량,대기중,91,만족,2024-04-06 17:09:00,
SVC000552,CUST00537,PROD0036,2024-05-05 15:27:00,전화,상담원8,반품/교환,진행중,44,불만족,,영구차단 고객
SVC000553,CUST00962,PROD0018,2024-04-13 23:49:00,카톡,상담원15,가격 정보 문의,해결완료,34,매우불만족,2024-02-16 07:40:00,
SVC000554,CUST00793,PROD0026,2024-01-18 17:14:00,이메일,상담원17,가격 정보 문의,진행중,29,매우만족,2024-06-21 05:05:00,고객 피드백 있음
SVC000555,CUST00253,PROD0007,2024-01-01 12:44:00,라이브채팅,상담원5,제품 문의,해결완료,11,만족,2024-06-22 21:23:00,영구차단 고객
SVC000556,CUST00822,PROD0001,2024-05-03 03:36:00,카톡,상담원20,서비스 문의,해결완료,96,매우만족,,영구차단 고객
SVC000557,CUST00289,PROD0026,2024-05-17 11:21:00,카톡,상담원4,배송 지연,해결완료,109,보통,2024-04-24 03:43:00,
SVC000558,CUST00164,PROD0023,2024-06-23 09:25:00,전화,상담원11,제품 문의,진행중,54,만족,,긴급 처리
SVC000559,CUST00095,PROD0026,2024-01-15 20:41:00,이메일,상담원18,가격 정보 문의,해결완료,85,매우만족,2024-01-19 16:41:00,
SVC000560,CUST00782,PROD0045,2024-01-24 11:34:00,카톡,상담원10,계정 문제,해결완료,100,보통,2024-02-14 02:36:00,긴급 처리
SVC000561,CUST00833,PROD0006,2024-03-28 02:53:00,라이브채팅,상담원17,서비스 문의,해결완료,5,불만족,,영구차단 고객
SVC000562,CUST00110,PROD0006,2024-04-27 09:41:00,카톡,상담원15,프로모션 문의,해결완료,95,매우만족,2024-04-26 19:02:00,고객 피드백 있음
SVC000563,CUST00336,PROD0044,2024-02-21 05:35:00,SNS,상담원6,반품/교환,해결완료,48,매우만족,2024-05-16 21:17:00,긴급 처리
SVC000564,CUST00822,PROD0008,2024-01-11 12:42:00,라이브채팅,상담원16,결제 오류,해결완료,104,만족,,
SVC000565,CUST00238,PROD0024,2024-02-18 09:44:00,라이브채팅,상담원15,계정 문제,해결완료,53,보통,2024-05-18 09:50:00,재문의 필요
SVC000566,CUST00381,PROD0022,2024-04-09 03:40:00,카톡,상담원8,가격 정보 문의,해결완료,11,보통,2024-01-05 05:08:00,긴급 처리
SVC000567,CUST00436,PROD0019,2024-06-25 11:31:00,전화,상담원9,서비스 문의,해결완료,7,만족,2024-01-10 10:51:00,
SVC000568,CUST00899,PROD0037,2024-01-22 20:28:00,라이브채팅,상담원11,가격 정보 문의,대기중,98,만족,,고객 피드백 있음
SVC000569,CUST00483,PROD0018,2024-02-18 04:02:00,SNS,상담원2,기술 지원,진행중,5,보통,2024-02-28 21:53:00,긴급 처리
SVC000570,CUST00937,PROD0031,2024-02-19 00:46:00,전화,상담원13,제품 문의,해결완료,55,만족,2024-06-02 22:44:00,
SVC000571,CUST00902,PROD0037,2024-05-31 07:31:00,전화,상담원4,결제 오류,미해결,102,보통,,재문의 필요
SVC000572,CUST00025,PROD0030,2024-04-09 02:50:00,전화,상담원9,결제 오류,해결완료,42,만족,2024-06-14 04:19:00,
SVC000573,CUST00653,PROD0042,2024-05-18 20:19:00,라이브채팅,상담원5,배송 지연,해결완료,47,불만족,2024-03-27 23:39:00,긴급 처리
SVC000574,CUST00117,PROD0033,2024-05-07 17:53:00,전화,상담원19,기술 지원,대기중,59,매우만족,2024-06-10 02:41:00,
SVC000575,CUST00482,PROD0010,2024-04-25 00:02:00,카톡,상담원3,제품 불량,진행중,61,매우만족,,
SVC000576,CUST00392,PROD0037,2024-03-27 01:21:00,전화,상담원3,기술 지원,미해결,57,매우만족,2024-06-09 17:32:00,영구차단 고객
SVC000577,CUST00917,PROD0012,2024-01-11 12:07:00,SNS,상담원6,결제 오류,미해결,104,불만족,2024-01-10 22:41:00,고객 피드백 있음
SVC000578,CUST00994,PROD0030,2024-02-24 20:42:00,이메일,상담원10,계정 문제,해결완료,37,만족,2024-04-01 05:15:00,
SVC000579,CUST00964,PROD0027,2024-05-13 14:43:00,SNS,상담원5,배송 지연,미해결,111,만족,2024-04-12 14:24:00,영구차단 고객
SVC000580,CUST00537,PROD0039,2024-05-17 04:47:00,라이브채팅,상담원3,프로모션 문의,미해결,84,매우불만족,2024-05-18 21:11:00,고객 피드백 있음
SVC000581,CUST00079,PROD0009,2024-05-28 07:59:00,전화,상담원7,계정 문제,해결완료,66,매우불만족,,긴급 처리
SVC000582,CUST00580,PROD0021,2024-01-19 01:47:00,전화,상담원18,서비스 문의,미해결,106,매우불만족,2024-03-11 12:49:00,재문의 필요
SVC000583,CUST00173,PROD0012,2024-02-06 15:41:00,카톡,상담원8,제품 불량,해결완료,15,매우만족,,
SVC000584,CUST00956,PROD0029,2024-01-05 15:58:00,전화,상담원1,제품 문의,진행중,76,불만족,2024-06-09 21:29:00,영구차단 고객
SVC000585,CUST00012,PROD0033,2024-06-07 01:15:00,SNS,상담원4,프로모션 문의,해결완료,56,만족,2024-05-16 15:24:00,긴급 처리
SVC000586,CUST00800,PROD0043,2024-06-28 20:08:00,라이브채팅,상담원7,계정 문제,해결완료,5,매우만족,2024-06-08 18:58:00,긴급 처리
SVC000587,CUST00128,PROD0015,2024-01-04 05:40:00,이메일,상담원14,서비스 문의,진행중,18,만족,2024-05-07 22:54:00,
SVC000588,CUST00608,PROD0002,2024-01-13 09:52:00,전화,상담원13,가격 정보 문의,해결완료,98,만족,,
SVC000589,CUST00092,PROD0039,2024-01-25 14:39:00,이메일,상담원10,반품/교환,진행중,89,매우만족,2024-03-22 16:36:00,재문의 필요
SVC000590,CUST00653,PROD0044,2024-02-13 18:04:00,전화,상담원18,제품 불량,진행중,25,만족,,긴급 처리
SVC000591,CUST00543,PROD0018,2024-01-28 03:31:00,라이브채팅,상담원1,제품 문의,해결완료,38,불만족,2024-01-10 20:34:00,긴급 처리
SVC000592,CUST00846,PROD0003,2024-06-01 19:14:00,SNS,상담원4,배송 지연,해결완료,106,만족,2024-05-14 00:25:00,재문의 필요
SVC000593,CUST00532,PROD0007,2024-01-17 06:27:00,라이브채팅,상담원16,기술 지원,진행중,94,만족,2024-06-23 20:50:00,고객 피드백 있음
SVC000594,CUST00658,PROD0043,2024-03-27 23:43:00,이메일,상담원16,반품/교환,대기중,109,만족,,고객 피드백 있음
SVC000595,CUST00989,PROD0018,2024-04-12 10:07:00,전화,상담원18,제품 불량,진행중,18,매우불만족,,재문의 필요
SVC000596,CUST00828,PROD0044,2024-06-24 18:34:00,이메일,상담원8,프로모션 문의,진행중,44,매우만족,,
SVC000597,CUST00447,PROD0038,2024-02-05 10:53:00,SNS,상담원10,가격 정보 문의,진행중,39,만족,,
SVC000598,CUST00390,PROD0037,2024-02-24 01:37:00,라이브채팅,상담원16,배송 지연,해결완료,46,매우만족,2024-04-02 12:24:00,긴급 처리
SVC000599,CUST00672,PROD0033,2024-02-14 10:04:00,이메일,상담원11,결제 오류,해결완료,86,불만족,2024-03-25 21:29:00,
SVC000600,CUST00861,PROD0044,2024-01-31 08:09:00,이메일,상담원6,계정 문제,미해결,24,매우만족,2024-01-08 21:07:00,영구차단 고객
SVC000601,CUST00043,PROD0031,2024-04-16 05:44:00,SNS,상담원1,계정 문제,대기중,64,만족,,
SVC000602,CUST00254,PROD0011,2024-04-04 17:10:00,전화,상담원12,배송 지연,해결완료,13,만족,2024-02-15 23:21:00,
SVC000603,CUST00130,PROD0004,2024-04-22 07:59:00,이메일,상담원6,결제 오류,해결완료,109,불만족,2024-03-09 08:11:00,긴급 처리
SVC000604,CUST00060,PROD0018,2024-05-28 01:08:00,SNS,상담원13,계정 문제,해결완료,119,매우만족,2024-04-10 14:37:00,긴급 처리
SVC000605,CUST00663,PROD0004,2024-01-26 20:39:00,전화,상담원17,제품 불량,진행중,113,보통,2024-02-05 11:52:00,
SVC000606,CUST00467,PROD0049,2024-04-06 05:01:00,전화,상담원1,배송 지연,해결완료,37,매우만족,2024-03-16 05:40:00,
SVC000607,CUST00287,PROD0034,2024-05-04 02:00:00,라이브채팅,상담원8,배송 지연,진행중,53,매우불만족,,
SVC000608,CUST00517,PROD0029,2024-01-02 05:59:00,SNS,상담원8,프로모션 문의,해결완료,72,만족,2024-06-23 17:47:00,영구차단 고객
SVC000609,CUST00467,PROD0024,2024-01-23 22:41:00,전화,상담원11,결제 오류,해결완료,8,보통,2024-03-09 12:53:00,영구차단 고객
SVC000610,CUST00930,PROD0022,2024-05-31 09:26:00,라이브채팅,상담원14,프로모션 문의,대기중,52,만족,2024-02-19 17:57:00,
SVC000611,CUST00778,PROD0002,2024-06-26 15:44:00,카톡,상담원10,결제 오류,해결완료,20,만족,2024-01-27 10:25:00,
SVC000612,CUST00345,PROD0044,2024-02-02 06:09:00,SNS,상담원15,프로모션 문의,미해결,51,매우만족,,긴급 처리
SVC000613,CUST00642,PROD0006,2024-06-12 08:33:00,카톡,상담원7,배송 지연,해결완료,30,보통,,
SVC000614,CUST00382,PROD0042,2024-04-25 13:15:00,전화,상담원7,기술 지원,해결완료,74,매우불만족,2024-03-24 05:34:00,긴급 처리
SVC000615,CUST00779,PROD0025,2024-02-14 19:44:00,SNS,상담원10,기술 지원,해결완료,41,만족,2024-05-03 05:58:00,고객 피드백 있음
SVC000616,CUST00690,PROD0021,2024-01-10 19:11:00,라이브채팅,상담원4,기술 지원,대기중,26,불만족,2024-04-09 05:36:00,
SVC000617,CUST00253,PROD0016,2024-05-07 19:05:00,전화,상담원18,배송 지연,대기중,110,매우만족,,
SVC000618,CUST00927,PROD0031,2024-06-09 09:22:00,SNS,상담원10,계정 문제,해결완료,107,매우불만족,2024-02-26 22:14:00,재문의 필요
SVC000619,CUST00056,PROD0014,2024-04-17 00:35:00,SNS,상담원19,가격 정보 문의,해결완료,11,만족,2024-06-04 21:23:00,고객 피드백 있음
SVC000620,CUST00463,PROD0039,2024-03-01 06:07:00,카톡,상담원14,제품 문의,진행중,46,만족,,긴급 처리
SVC000621,CUST00457,PROD0028,2024-05-15 03:39:00,전화,상담원13,가격 정보 문의,해결완료,34,만족,2024-05-09 03:35:00,영구차단 고객
SVC000622,CUST00983,PROD0032,2024-04-02 17:32:00,라이브채팅,상담원15,기술 지원,해결완료,78,보통,2024-04-04 11:01:00,재문의 필요
SVC000623,CUST00083,PROD0028,2024-02-26 14:49:00,라이브채팅,상담원16,계정 문제,해결완료,83,보통,2024-05-05 16:16:00,재문의 필요
SVC000624,CUST00905,PROD0049,2024-06-09 21:13:00,전화,상담원2,배송 지연,진행중,10,만족,2024-05-23 10:01:00,긴급 처리
SVC000625,CUST00099,PROD0009,2024-03-11 01:12:00,전화,상담원4,서비스 문의,해결완료,28,만족,2024-05-04 21:18:00,
SVC000626,CUST00149,PROD0045,2024-01-29 04:43:00,이메일,상담원18,계정 문제,해결완료,70,매우만족,2024-02-27 00:12:00,긴급 처리
SVC000627,CUST00329,PROD0022,2024-05-01 15:11:00,카톡,상담원17,서비스 문의,해결완료,44,만족,2024-06-08 03:56:00,
SVC000628,CUST00156,PROD0032,2024-02-10 21:59:00,전화,상담원10,배송 지연,해결완료,19,만족,2024-05-11 18:04:00,긴급 처리
SVC000629,CUST00190,PROD0005,2024-01-12 01:41:00,전화,상담원9,제품 불량,진행중,57,만족,2024-01-29 15:38:00,재문의 필요
SVC000630,CUST00494,PROD0023,2024-04-03 09:13:00,이메일,상담원15,결제 오류,대기중,89,만족,2024-01-13 06:33:00,긴급 처리
SVC000631,CUST00883,PROD0005,2024-04-21 08:21:00,이메일,상담원12,제품 문의,해결완료,86,보통,2024-03-26 18:15:00,
SVC000632,CUST00263,PROD0042,2024-06-06 14:02:00,SNS,상담원9,가격 정보 문의,해결완료,9,보통,,고객 피드백 있음
SVC000633,CUST00080,PROD0032,2024-01-27 23:03:00,라이브채팅,상담원14,프로모션 문의,해결완료,93,매우만족,,긴급 처리
SVC000634,CUST00400,PROD0010,2024-05-17 05:10:00,카톡,상담원13,프로모션 문의,대기중,40,보통,2024-02-23 12:19:00,긴급 처리
SVC000635,CUST00764,PROD0039,2024-01-08 15:32:00,SNS,상담원6,결제 오류,해결완료,78,매우만족,,
SVC000636,CUST00609,PROD0015,2024-01-30 02:57:00,전화,상담원19,계정 문제,미해결,119,보통,,고객 피드백 있음
SVC000637,CUST00260,PROD0007,2024-03-01 23:28:00,이메일,상담원4,프로모션 문의,해결완료,50,매우만족,,
SVC000638,CUST00772,PROD0029,2024-05-31 18:20:00,라이브채팅,상담원20,반품/교환,해결완료,27,보통,2024-02-21 03:13:00,영구차단 고객
SVC000639,CUST00615,PROD0047,2024-04-17 06:47:00,SNS,상담원17,프로모션 문의,해결완료,92,만족,2024-04-03 19:56:00,영구차단 고객
SVC000640,CUST00552,PROD0003,2024-06-22 10:14:00,라이브채팅,상담원19,배송 지연,진행중,49,만족,,
SVC000641,CUST00785,PROD0019,2024-01-29 10:14:00,이메일,상담원3,결제 오류,진행중,14,보통,2024-05-14 03:15:00,고객 피드백 있음
SVC000642,CUST00101,PROD0010,2024-01-26 07:47:00,SNS,상담원14,제품 문의,해결완료,58,매우만족,2024-04-24 10:02:00,
SVC000643,CUST00359,PROD0028,2024-04-15 06:24:00,SNS,상담원17,결제 오류,해결완료,74,매우만족,,영구차단 고객
SVC000644,CUST00380,PROD0029,2024-02-26 02:30:00,라이브채팅,상담원13,제품 문의,해결완료,81,보통,2024-02-08 22:55:00,
SVC000645,CUST00820,PROD0015,2024-05-29 15:03:00,이메일,상담원9,반품/교환,해결완료,89,불만족,2024-01-28 09:49:00,
SVC000646,CUST00221,PROD0035,2024-04-21 04:13:00,전화,상담원1,프로모션 문의,해결완료,36,만족,2024-01-10 11:11:00,
SVC000647,CUST00820,PROD0006,2024-06-05 14:11:00,SNS,상담원17,결제 오류,해결완료,47,매우만족,2024-06-06 16:07:00,영구차단 고객
SVC000648,CUST00420,PROD0012,2024-04-09 11:08:00,전화,상담원16,서비스 문의,진행중,19,만족,2024-05-14 15:35:00,긴급 처리
SVC000649,CUST00124,PROD0047,2024-04-27 23:12:00,이메일,상담원18,기술 지원,해결완료,70,보통,,
SVC000650,CUST00422,PROD0038,2024-06-10 11:17:00,SNS,상담원2,반품/교환,해결완료,19,만족,2024-02-03 15:00:00,
SVC000651,CUST00231,PROD0013,2024-02-21 10:08:00,SNS,상담원14,계정 문제,해결완료,119,불만족,,
SVC000652,CUST00690,PROD0029,2024-01-09 22:36:00,전화,상담원17,서비스 문의,해결완료,85,만족,,
SVC000653,CUST00063,PROD0019,2024-01-16 08:08:00,카톡,상담원3,제품 문의,해결완료,24,매우만족,2024-05-14 17:54:00,
SVC000654,CUST00485,PROD0003,2024-01-29 14:29:00,전화,상담원2,결제 오류,해결완료,54,매우만족,2024-04-12 05:56:00,재문의 필요
SVC000655,CUST00628,PROD0008,2024-04-17 05:48:00,전화,상담원8,제품 문의,해결완료,10,만족,,
SVC000656,CUST00703,PROD0008,2024-03-28 07:56:00,카톡,상담원2,제품 문의,미해결,83,보통,2024-04-19 13:03:00,긴급 처리
SVC000657,CUST00574,PROD0020,2024-03-16 19:10:00,이메일,상담원2,반품/교환,해결완료,21,매우만족,2024-05-29 16:26:00,긴급 처리
SVC000658,CUST00768,PROD0047,2024-06-12 19:57:00,이메일,상담원9,서비스 문의,해결완료,30,매우불만족,2024-04-25 17:28:00,영구차단 고객
SVC000659,CUST00483,PROD0004,2024-02-13 18:35:00,SNS,상담원20,결제 오류,대기중,26,만족,,재문의 필요
SVC000660,CUST00519,PROD0021,2024-02-28 02:26:00,라이브채팅,상담원6,프로모션 문의,해결완료,77,만족,2024-02-05 15:45:00,영구차단 고객
SVC000661,CUST00155,PROD0003,2024-05-13 15:55:00,라이브채팅,상담원12,제품 불량,대기중,68,매우만족,2024-03-27 23:57:00,긴급 처리
SVC000662,CUST00092,PROD0045,2024-02-25 18:30:00,SNS,상담원9,가격 정보 문의,해결완료,80,불만족,2024-05-18 20:21:00,긴급 처리
SVC000663,CUST00982,PROD0008,2024-04-28 08:00:00,라이브채팅,상담원7,가격 정보 문의,진행중,90,보통,2024-04-18 11:50:00,영구차단 고객
SVC000664,CUST00526,PROD0023,2024-04-19 23:55:00,전화,상담원12,반품/교환,진행중,62,매우만족,2024-06-06 09:11:00,
SVC000665,CUST00455,PROD0016,2024-03-04 07:20:00,전화,상담원5,계정 문제,미해결,91,매우불만족,2024-03-18 19:58:00,
SVC000666,CUST00741,PROD0013,2024-04-21 18:14:00,카톡,상담원16,배송 지연,진행중,41,만족,,
